;Nom;Commune;Type;Coord_X;Coord_Y;IsLyon;Category
52;Parc de Parilly;Bron;Stade d’athlétisme;4.89472;45.71799;True;Athlétisme
53;Parc de Parilly;Bron;Terrain de football;4.89704;45.72045;True;FootBall
54;Parc de Parilly;Bron;Terrain de basket-ball;4.8957;45.72168;True;BasketBall
57;7 Fitness;Bron;Salle de cours collectifs;4.931818;45.743478;True;Salle de sport
58;Stade Léo Lagrange;Bron;Terrain de football;4.92591;45.74214;True;FootBall
59;Stade Léo Lagrange;Bron;Court de tennis;4.92708;45.74076;True;Tennis
61;Stade Duboeuf;Bron;Stade d’athlétisme;4.90718;45.74142;True;Athlétisme
62;Université Lumière Lyon Ii;Bron;Salle multisports (gymnase);4.91909;45.72048;True;Gymnase
63;Lycée Professionnel du Batiment et des Travaux Publics;Bron;Plateau EPS/Multisports/city-stades;4.88842;45.72642;True;Autres
64;Halle des Sports;Bron;Salle multisports (gymnase);4.92179;45.7373;True;Gymnase
65;Salle d'Armes;Bron;Salle d'escrime;4.91041;45.74378;True;Autres
66;Gymnase Louis Pradel;Bron;Plateau EPS/Multisports/city-stades;4.91258;45.74817;True;Autres
426;Piscine des Gratte-Ciel;Villeurbanne;Bassin mixte de natation;4.87917;45.76567;True;Natation
427;Complexe Sportif Colette Besson et Terrains de Tennis Extérieur Siuaps;Villeurbanne;Salle multisports (gymnase);4.87289;45.78516;True;Gymnase
428;Gymnase B Siuaps Secteur Insa;Villeurbanne;Plateau EPS/Multisports/city-stades;4.88304;45.78544;True;Autres
429;Complexe Sportif Piscine et Stade Campus de la Doua Siuaps Secteur Insa;Villeurbanne;Piste d'athlétisme isolée;4.87784;45.7855;True;Athlétisme
430;Complexe Sportif Piscine et Stade Campus de la Doua Siuaps Secteur Insa;Villeurbanne;Terrain de rugby;4.87879;45.78604;True;Rugby
431;Complexe Sportif Piscine et Stade Campus de la Doua Siuaps Secteur Insa;Villeurbanne;Salle multisports (gymnase);4.87289;45.78516;True;Gymnase
432;Complexe Sportif Piscine et Stade Campus de la Doua Siuaps Secteur Insa;Villeurbanne;Court de tennis;4.87846;45.78441;True;Tennis
433;Lycée Professionnel Marie Curie;Villeurbanne;Salles polyvalentes / des fêtes / non spécialisées;4.89622;45.76145;True;Gymnase
434;Collège Privé Immaculée Conception;Villeurbanne;Terrain de basket-ball;4.88978;45.75785;True;BasketBall
436;Lycée Frédéric Faÿs;Villeurbanne;Salle multisports (gymnase);4.903;45.762;True;Gymnase
437;Lycée Frédéric Faÿs;Villeurbanne;Salle de tennis de table;4.9028;45.76249;True;Tennis de table
438;Tennis Club de Lyon-Tcl;Villeurbanne;Court de tennis;4.86056;45.78208;True;Tennis
439;Tennis Club de Lyon-Tcl;Villeurbanne;Court de tennis;4.86046;45.77987;True;Tennis
441;Tennis Club de Lyon-Tcl;Villeurbanne;Court de tennis;4.86097;45.78026;True;Tennis
442;Wellness Villeurbanne;Villeurbanne;Salle de cours collectifs;4.88024;45.7634;True;Salle de sport
443;Stade Severine;Villeurbanne;Terrain de football;4.91466;45.7553;True;FootBall
444;Complexe B Granger;Villeurbanne;Terrain de boules;4.90074;45.7624;True;Pétanque
445;Complexe B Granger;Villeurbanne;Salle de gymnastique sportive;4.90092;45.76194;True;Gymnase
446;Complexe B Granger;Villeurbanne;Terrain de football;4.90324;45.76311;True;FootBall
447;Complexe B Granger;Villeurbanne;Court de tennis;4.90065;45.76143;True;Tennis
449;Complexe des Brosses;Villeurbanne;Dojo / Salle d'arts martiaux;4.91789;45.74959;True;Arts martiaux
450;Complexe des Brosses;Villeurbanne;Terrain de boules;4.91808;45.75042;True;Pétanque
451;Centre Nautique E.Gagnaire;Villeurbanne;Salle de gymnastique sportive;4.90909;45.76702;True;Gymnase
452;Piscine Andre Boulloche;Villeurbanne;Bassin mixte de natation;4.87682;45.77188;True;Natation
453;Salle Vap;Villeurbanne;Salle de lutte;4.88392;45.76482;True;Arts martiaux
454;Stade Marie Thérese Eyquem;Villeurbanne;Stade d’athlétisme;4.90089;45.77901;True;Athlétisme
